"","id","gene","flag","first_pos","second_pos","length","quality","essentiel","init"
"159","ECK0088-JW0085","mraY",99,92492,93551,1059,"50M","False","f"
"161","ECK0089-JW0086","murD",99,93577,94870,1293,"50M","False","f"
"163","ECK0090-JW0087","ftsW",99,94893,96114,1221,"50M","False","f"
"165","ECK0091-JW0088","murG",99,96134,97178,1044,"50M","False","f"
"167","ECK0092-JW0089","murC",99,97255,98707,1452,"50M","False","f"
"169","ECK0093-JW0090","ddlB",99,98729,99620,891,"50M","False","f"
"171","ECK0094-JW0091","ftsQ",99,99645,100452,807,"50M","False","f"
"173","ECK0095-JW0092","ftsA",99,100472,101711,1239,"50M","False","f"
"175","ECK0096-JW0093","ftsZ",99,101795,102923,1128,"50M","False","f"
"177","ECK0097-JW0094","lpxC",99,103047,103941,894,"50M","False","f"
"179","ECK0098-JW5007","secM",99,104195,104684,489,"50M","False","f"
"181","ECK0099-JW0096","secA",99,104769,107451,2682,"50M","False","f"
"183","ECK0100-JW0097","mutT",99,107534,107900,366,"50M","False","f"
"185","ECK0101-JW5008","yacG",99,108157,108286,129,"50M","False","r"
"187","ECK0102-JW0099","yacF",99,108364,109084,720,"50M","False","r"
"189","ECK0103-JW0100","coaE",99,109107,109704,597,"50M","False","r"
"191","ECK0104-JW0101","guaC",99,109934,110954,1020,"50M","False","f"
"193","ECK0105-JW0102","hofC",99,111030,112209,1179,"50M","False","r"
"195","ECK0106-JW0103","hofB",99,112222,113584,1362,"50M","False","r"
"197","ECK0107-JW0104","ppdD",99,113617,114034,417,"50M","False","r"
"199","ECK0108-JW0105","nadC",99,114260,115130,870,"50M","False","r"
"201","ECK0109-JW0106","ampD",99,115223,115751,528,"50M","False","f"
"203","ECK0110-JW0107","ampE",99,115771,116602,831,"50M","False","f"
"205","ECK0111-JW0108","aroP",99,116686,118036,1350,"50M","False","r"
"207","ECK0112-JW0109","pdhR",99,118582,119323,741,"50M","False","f"
"209","ECK0113-JW0110","aceE",99,119507,122147,2640,"50M","False","f"
"211","ECK0114-JW0111","aceF",99,122185,124054,1869,"50M","False","f"
"213","ECK0115-JW0112","lpd",99,124402,125803,1401,"50M","False","f"
"215","ECK0116-JW0113","yacH",99,125915,127745,1830,"50M","False","r"
"217","ECK0117-JW0114","acnB",99,128105,130679,2574,"50M","False","f"
"219","ECK0118-JW0115","yacL",99,130878,131217,339,"50M","False","f"
"221","ECK0119-JW0116","speD",99,131296,132067,771,"50M","False","r"
"223","ECK0120-JW0117","speE",99,132106,132949,843,"50M","False","r"
"225","ECK0121-JW0118","yacC",99,133078,133402,324,"50M","False","r"
"227","ECK0122-JW0119","cueO",99,133573,135100,1527,"50M","False","f"
"229","ECK0123-JW0120","gcd",99,135343,137710,2367,"50M","False","r"
"231","ECK0124-JW5009","hpt",99,137921,138434,513,"50M","False","f"
"233","ECK0125-JW0122","can",99,138516,139155,639,"50M","False","r"
"235","ECK0126-JW0123","yadG",99,139269,140172,903,"50M","False","f"
"237","ECK0127-JW0124","yadH",99,140192,140939,747,"50M","False","f"
"239","ECK0128-JW0125","yadI",99,141067,141484,417,"50M","False","f"
"241","ECK0129-JW0126","yadE",99,141571,142777,1206,"50M","False","f"
"243","ECK0130-JW0127","panD",99,142822,143179,357,"50M","False","r"
"245","ECK0131-JW5010","yadD",99,143509,144337,828,"50M","False","f"
"247","ECK0132-JW0129","panC",99,144452,145280,828,"50M","False","r"
"249","ECK0133-JW0130","panB",99,145315,146086,771,"50M","False","r"
"251","ECK0134-JW0131","yadC",99,146223,147438,1215,"50M","False","r"
"253","ECK0135-JW0132","yadK",99,147511,148084,573,"50M","False","r"
"255","ECK0136-JW0133","yadL",99,148134,148716,582,"50M","False","r"
"257","ECK0137-JW0134","yadM",99,148751,149297,546,"50M","False","r"
"259","ECK0138-JW0135","htrE",99,149337,151911,2574,"50M","False","r"
"261","ECK0139-JW0136","ecpD",99,151969,152686,717,"50M","False","r"
"263","ECK0140-JW0137","yadN",99,152807,153368,561,"50M","False","r"
"265","ECK0141-JW0138","folK",99,153761,154217,456,"50M","False","r"
"267","ECK0142-JW5808","pcnB",99,154237,155632,1395,"50M","False","r"
"269","ECK0143-JW5892","yadB",99,155694,156597,903,"50M","False","r"
"271","ECK0144-JW0141","dksA",99,156657,157089,432,"50M","False","r"
"273","ECK0145-JW0142","sfsA",99,157290,157971,681,"50M","False","r"
"275","ECK0146-JW5011","ligT",99,158009,158516,507,"50M","False","r"
"277","ECK0147-JW0144","hrpB",99,158595,161001,2406,"50M","False","f"
"279","ECK0148-JW0145","mrcB",99,161220,163731,2511,"50M","False","f"
"281","ECK0149-JW0146","fhuA",99,163974,166194,2220,"50M","False","f"
"283","ECK0150-JW0147","fhuC",99,166268,167042,774,"50M","False","f"
"285","ECK0151-JW0148","fhuD",99,167065,167932,867,"50M","False","f"
"287","ECK0152-JW0149","fhuB",99,167952,169911,1959,"50M","False","f"
"289","ECK0153-JW0150","hemL",99,170110,171367,1257,"50M","False","r"
"291","ECK0154-JW5012","clcA",99,171708,172995,1287,"50M","False","f"
"293","ECK0155-JW0152","yadR",99,173100,173421,321,"50M","False","f"
"295","ECK0156-JW0153","yadS",99,173509,174109,600,"50M","False","r"
"297","ECK0157-JW0154","btuF",99,174170,174947,777,"50M","False","r"
"299","ECK0158-JW0155","pfs",99,174963,175638,675,"50M","False","r"
"301","ECK0159-JW0156","dgt",99,175727,177221,1494,"50M","False","f"
"303","ECK0160-JW0157","degP",99,177374,178775,1401,"50M","False","f"
"305","ECK0161-JW5013","cdaR",99,178935,180087,1152,"50M","False","f"
"307","ECK0162-JW0159","yaeH",99,180217,180580,363,"50M","False","r"
"309","ECK0163-JW5014","yaeI",99,180765,181275,510,"50M","False","r"
"311","ECK0164-JW0161","dapD",99,181631,182432,801,"50M","False","r"
"313","ECK0165-JW0162","glnD",99,182486,185135,2649,"50M","False","r"
"315","ECK0166-JW0163","map",99,185220,185991,771,"50M","False","r"
"317","ECK0168-JW0164","rpsB",99,186364,187066,702,"50M","False","f"
"319","ECK0169-JW0165","tsf",99,187347,188175,828,"50M","False","f"
"321","ECK0170-JW0166","pyrH",99,188345,189047,702,"50M","False","f"
"323","ECK0171-JW0167","frr",99,189362,189896,534,"50M","False","f"
"325","ECK0172-JW0168","dxr",99,190011,191184,1173,"50M","False","f"
"327","ECK0173-JW0169","ispU",99,191393,192131,738,"50M","False","f"
"329","ECK0174-JW5810","cdsA",99,192167,193001,834,"50M","False","f"
"331","ECK0175-JW0171","yaeL",99,193036,194365,1329,"50M","False","f"
"333","ECK0176-JW0172","yaeT",99,194418,196827,2409,"50M","False","f"
"335","none-JW5015","none",99,196851,196938,87,"50M","False","f"
"337","ECK0177-JW0173","hlpA",99,196972,197434,462,"50M","False","f"
"339","ECK0178-JW0174","lpxD",99,197461,198463,1002,"50M","False","f"
"341","ECK0179-JW0175","fabZ",99,198591,199023,432,"50M","False","f"
"343","ECK0180-JW0176","lpxA",99,199050,199815,765,"50M","False","f"
"345","ECK0181-JW0177","lpxB",99,199838,200963,1125,"50M","False","f"
"347","ECK0182-JW0178","rnhB",99,200983,201556,573,"50M","False","f"
"349","ECK0183-JW0179","dnaE",97,201616,205075,3459,"50M","False","f"
"351","ECK0184-JW0180","accA",99,205111,206047,936,"50M","False","f"
"353","ECK0185-JW0181","ldcC",99,206169,208287,2118,"50M","False","f"
"355","ECK0186-JW0182","yaeR",99,208367,208733,366,"50M","False","f"
"357","ECK0187-JW0183","tilS",99,208821,210096,1275,"50M","False","f"
"359","ECK0188-JW0184","rof",99,210186,210417,231,"50M","False","r"
"361","ECK0189-JW0185","yaeP",99,210433,210610,177,"50M","False","r"
"363","ECK0190-JW0186","yaeQ",99,210781,211303,522,"50M","False","f"
"365","ECK0191-JW0187","yaeJ",99,211323,211722,399,"50M","False","f"
"367","ECK0192-JW0188","nlpE",99,211759,212446,687,"50M","False","f"
"369","ECK0193-JW5016","yaeF",99,212687,213542,855,"50M","False","r"
"371","ECK0194-JW0190","proS",99,213565,215260,1695,"50M","False","r"
"373","ECK0195-JW0191","yaeB",99,215395,216079,684,"50M","False","r"
"375","ECK0196-JW0192","rcsF",99,216099,216480,381,"50M","False","r"
"377","ECK0197-JW0193","metQ",99,216621,217413,792,"50M","False","r"
"379","ECK0198-JW0194","metI",99,217476,218106,630,"50M","False","r"
"381","ECK0199-JW0195","metN",99,218122,219130,1008,"50M","False","r"
"383","ECK0200-JW0196","gmhB",99,219323,219875,552,"50M","False","f"
"385","ECK0207-JW0197","dkgB",99,225657,226437,780,"50M","False","f"
"387","ECK0208-JW0198","yafC",99,226475,227366,891,"50M","False","r"
"389","ECK0209-JW5017","yafD",99,227633,228389,756,"50M","False","f"
"391","ECK0210-JW0200","yafE",99,228416,229016,600,"50M","False","f"
"393","ECK0211-JW5018","mltD",99,229105,230440,1335,"50M","False","r"
"395","ECK0212-JW0202","gloB",99,230535,231267,732,"50M","False","r"
"397","ECK0213-JW0203","yafS",99,231306,232005,699,"50M","False","f"
"399","ECK0214-JW0204","rnhA",99,232043,232487,444,"50M","False","r"
"401","ECK0215-JW0205","dnaQ",99,232557,233265,708,"50M","False","f"
"403","ECK0217-JW0206","yafT",99,233825,234587,762,"50M","False","f"
"405","ECK0218-JW0207","yafU",99,235254,235569,315,"50M","False","r"
"407","ECK0219-JW0208","yafF",99,235680,235845,165,"50M","False","f"
"409","ECK0220-JW5019","yafV",99,235927,236683,756,"50M","False","r"
"411","ECK0221-JW0210","ivy",99,236833,237283,450,"50M","False","f"
"413","ECK0222-JW5020","fadE",99,237367,239866,2499,"50M","False","r"
"415","ECK0223-JW0212","lpcA",99,240033,240588,555,"50M","False","f"
"417","ECK0224-JW0213","yafJ",99,240817,241561,744,"50M","False","f"
"419","ECK0225-JW0214","yafK",99,241573,242290,717,"50M","False","r"
"421","ECK0226-JW0215","yafQ",99,242469,242724,255,"50M","False","r"
"423","ECK0227-JW0216","dinJ",99,242750,242987,237,"50M","False","r"
"425","ECK0228-JW0217","yafL",99,243202,243928,726,"50M","False","f"
"427","ECK0229-JW0218","yafM",99,244127,244601,474,"50M","False","f"
"429","ECK0230-JW5811","fhiA",99,244866,246582,1716,"50M","False","r"
"431","ECK0231-JW5812","mbhA",99,246532,247294,762,"50M","False","f"
"433","ECK0232-JW0221","dinB",99,247388,248420,1032,"50M","False","f"
"435","ECK0233-JW0222","yafN",99,248495,248765,270,"50M","False","f"
"437","ECK0234-JW0223","yafO",99,248791,249166,375,"50M","False","f"
"439","ECK0235-JW0224","yafP",99,249199,249628,429,"50M","False","f"
"441","ECK0236-JW0225","ykfJ",99,249957,250200,243,"50M","False","f"
"443","ECK0237-JW0226","prfH",99,250192,250669,477,"50M","False","f"
"445","ECK0238-JW0227","pepD",99,250767,252201,1434,"50M","False","r"
"447","ECK0239-JW0228","gpt",99,252467,252902,435,"50M","False","f"
"449","ECK0240-JW0229","frsA",99,253017,254238,1221,"50M","False","f"
"451","ECK0241-JW0230","crl",99,254319,254697,378,"50M","False","f"
"453","ECK0242-JW0231","phoE",99,254777,255809,1032,"50M","False","r"
"455","ECK0243-JW0232","proB",99,256102,257182,1080,"50M","False","f"
"457","ECK0244-JW0233","proA",99,257217,258447,1230,"50M","False","f"
"459","ECK0246-JW0234","ykfI",99,259060,259378,318,"50M","False","r"
"461","ECK0247-JW0235","yafW",99,259422,259716,294,"50M","False","r"
"463","ECK0248-JW5956","ykfH",99,259758,259956,198,"50M","False","r"
"465","ECK0249-JW0236","ykfG",99,259988,260441,453,"50M","False","r"
"467","ECK0250-JW5022","yafX",99,260480,261089,609,"50M","False","r"
"469","ECK0251-JW5023","ykfF",99,261036,261414,378,"50M","False","r"
"471","ECK0252-JW0239","ykfB",99,261352,261796,444,"50M","False","r"
"473","ECK0253-JW0240","yafY",99,261842,262676,834,"50M","False","r"
"475","none-JW0241","none",99,262285,262438,153,"50M","False","r"
"477","ECK0254-JW0242","yafZ",99,262916,263714,798,"50M","False","r"
"479","ECK0255-JW0243","ykfA",99,263829,264669,840,"50M","False","r"
"481","ECK0256-JW0244","perR",99,265021,265891,870,"50M","False","r"
"483","ECK0259-JW0247","insO",99,267544,267946,402,"50M","False","f"
"485","none-JW5025","none",99,268415,268514,99,"50M","False","f"
"487","ECK0260-JW5813","ykfC",99,268576,269683,1107,"50M","False","f"
"489","ECK0262-JW5027","mmuP",99,271039,272419,1380,"50M","False","f"
"491","ECK0263-JW0253","mmuM",99,272429,273338,909,"50M","False","f"
"493","ECK0264-JW0254","afuC",99,273488,274511,1023,"50M","False","r"
"495","ECK0265-JW0255","afuB",99,274546,274885,339,"50M","False","r"
"497","ECK0266-JW0258","ykgN",99,275756,276071,315,"50M","False","r"
"499","ECK0267-JW0259","yagB",99,276117,276444,327,"50M","False","r"
"501","ECK0268-JW0260","yagA",99,276561,277692,1131,"50M","False","r"
"503","ECK0269-JW0261","yagE",99,277971,278877,906,"50M","False","f"
"505","ECK0270-JW0262","yagF",99,278915,280859,1944,"50M","False","f"
"507","ECK0271-JW0263","yagG",99,281109,282468,1359,"50M","False","f"
"509","ECK0272-JW0264","yagH",99,282503,284090,1587,"50M","False","f"
"511","ECK0273-JW0265","yagI",99,284136,284871,735,"50M","False","r"
"513","ECK0274-JW0266","argF",99,285033,286014,981,"50M","False","r"
"515","none-JW5028","none",99,286224,286329,105,"50M","False","f"
"517","ECK0275-JW0270","yagJ",99,287214,287922,708,"50M","False","f"
"519","ECK0276-JW0271","yagK",99,288054,288657,603,"50M","False","r"
"521","ECK0277-JW0272","yagL",99,288952,289627,675,"50M","False","r"
"523","ECK0278-JW0273","yagM",99,289677,290508,831,"50M","False","r"
"525","none-JW5029","none",99,290650,290851,201,"50M","False","r"
"527","ECK0279-JW0274","yagN",99,290871,291288,417,"50M","False","r"
"529","ECK0280-JW0275","intF",99,291428,292805,1377,"50M","False","r"
"531","ECK0281-JW0276","yagP",99,293113,293500,387,"50M","False","r"
"533","ECK0282-JW0277","yagQ",99,293502,294435,933,"50M","False","r"
"535","ECK0283-JW0278","yagR",99,294468,296643,2175,"50M","False","r"
"537","ECK0284-JW0279","yagS",99,296663,297596,933,"50M","False","r"
"539","ECK0285-JW0280","yagT",99,297616,298282,666,"50M","False","r"
"541","ECK0286-JW0281","yagU",99,298705,299296,591,"50M","False","f"
"543","ECK0287-JW0282","ykgJ",99,299585,299891,306,"50M","False","r"
"545","ECK0288-JW5030","yagV",99,300227,300959,732,"50M","False","r"
"547","ECK0289-JW0284","yagW",99,300906,302526,1620,"50M","False","r"
"549","ECK0290-JW0285","yagX",99,302539,305041,2502,"50M","False","r"
"551","ECK0291-JW0286","yagY",99,305090,305735,645,"50M","False","r"
"553","ECK0292-JW0287","yagZ",99,305816,306380,564,"50M","False","r"
"555","ECK0293-JW5031","ykgK",99,306478,306706,228,"50M","False","r"
"557","none-JW5032","none",99,307654,307741,87,"50M","False","f"
"559","ECK0294-JW5033","ykgL",99,307820,308030,210,"50M","False","f"
"561","ECK0295-JW5034","ykgM",99,308106,308223,117,"50M","False","r"
"563","ECK0296-JW5035","ykgM",99,308246,308486,240,"50M","False","r"
"565","ECK0297-JW0291","eaeH",99,310071,310935,864,"50M","False","f"
"567","ECK0300-JW5037","ykgA",99,312182,312878,696,"50M","False","r"
"569","ECK0301-JW5038","ykgB",99,313458,314037,579,"50M","False","r"
"571","ECK0302-JW5039","ykgI",99,314063,314291,228,"50M","False","r"
"573","ECK0303-JW5040","ykgC",99,314408,315710,1302,"50M","False","r"
"575","ECK0304-JW0298","ykgD",99,315941,316772,831,"50M","False","f"
"577","ECK0305-JW5041","ykgE",99,317388,318018,630,"50M","False","f"
"579","ECK0306-JW0300","ykgF",99,318052,319456,1404,"50M","False","f"
"581","ECK0307-JW5042","ykgG",99,319478,320144,666,"50M","False","f"
"583","ECK0308-JW0302","ykgH",99,320428,321073,645,"50M","False","r"
"585","ECK0309-JW0303","betA",99,321309,322956,1647,"50M","False","r"
"587","ECK0310-JW0304","betB",99,322993,324442,1449,"50M","False","r"
"589","ECK0311-JW0305","betI",99,324479,325043,564,"50M","False","r"
"591","ECK0312-JW0306","betT",99,325177,327187,2010,"50M","False","f"
"593","ECK0313-JW0307","yahA",99,328085,329150,1065,"50M","False","f"
"595","ECK0314-JW0308","yahB",99,329233,330142,909,"50M","False","r"
"597","ECK0315-JW0309","yahC",99,330257,330731,474,"50M","False","r"
"599","ECK0316-JW0310","yahD",99,330994,331576,582,"50M","False","f"
"601","ECK0317-JW0311","yahE",99,331639,332479,840,"50M","False","f"
"603","ECK0318-JW0312","yahF",99,332492,334016,1524,"50M","False","f"
"605","ECK0319-JW0313","yahG",99,334039,335434,1395,"50M","False","f"
"607","ECK0320-JW5893","yahH",99,335378,335780,402,"50M","False","f"
"609","ECK0321-JW0315","yahI",99,335879,336806,927,"50M","False","f"
"611","ECK0322-JW0316","yahJ",99,336839,338198,1359,"50M","False","f"
"613","ECK0323-JW0317","yahK",99,338598,339624,1026,"50M","False","f"
"615","ECK0324-JW0318","yahL",99,339890,340682,792,"50M","False","f"
"617","ECK0325-JW5044","yahM",99,341088,341340,252,"50M","False","f"
"619","ECK0326-JW0320","yahN",99,341398,342046,648,"50M","False","r"
"621","ECK0327-JW0321","yahO",99,342198,342450,252,"50M","False","f"
"623","ECK0328-JW0322","prpR",99,342589,344152,1563,"50M","False","r"
"625","ECK0329-JW0323","prpB",99,344396,345263,867,"50M","False","f"
"627","ECK0330-JW0324","prpC",99,345726,346872,1146,"50M","False","f"
"629","ECK0331-JW0325","prpD",99,346929,348357,1428,"50M","False","f"
"631","ECK0332-JW0326","prpE",99,348420,350283,1863,"50M","False","f"
"633","ECK0333-JW0327","codB",99,350636,351872,1236,"50M","False","f"
"635","ECK0334-JW0328","codA",99,351885,353145,1260,"50M","False","f"
"637","ECK0335-JW5894","cynR",99,353523,354399,876,"50M","False","r"
"639","ECK0336-JW0330","cynT",99,354513,355149,636,"50M","False","f"
"641","ECK0337-JW0331","cynS",99,355203,355650,447,"50M","False","f"
"643","ECK0338-JW0332","cynX",99,355706,356837,1131,"50M","False","f"
"645","ECK0339-JW0333","lacA",99,356981,357569,588,"50M","False","r"
"647","ECK0340-JW0334","lacY",99,357658,358888,1230,"50M","False","r"
"649","ECK0342-JW0336","lacI",99,360702,361741,1039,"20S30M","False","r"
"651","ECK0343-JW0337","mhpR",99,361841,362765,924,"50M","False","r"
"653","ECK0344-JW0338","mhpA",99,362847,364488,1641,"50M","False","f"
"655","ECK0345-JW0339","mhpB",99,364513,365434,921,"50M","False","f"
"657","ECK0346-JW0340","mhpC",99,365460,367541,2081,"50M","False","f"
"659","ECK0347-JW0341","mhpD",99,367574,368360,786,"50M","False","f"
"661","ECK0348-JW0342","mhpF",99,368380,369307,927,"50M","False","f"
"663","ECK0349-JW0343","mhpE",99,369327,370317,990,"50M","False","f"
"665","ECK0350-JW5046","mhpT",99,370918,372106,1188,"50M","False","f"
"667","ECK0351-JW0345","yaiL",99,372231,372747,516,"50M","False","f"
"669","none-JW5047","none",99,372792,372876,84,"50M","False","f"
"671","ECK0352-JW0346","frmB",99,373012,373822,810,"50M","False","r"
"673","ECK0353-JW0347","frmA",99,373939,375025,1086,"50M","False","r"
"675","ECK0354-JW0348","frmR",99,375083,375335,252,"50M","False","r"
"677","ECK0355-JW0349","yaiO",99,375546,376296,750,"50M","False","r"
"679","ECK0356-JW0350","yaiX",99,376321,376513,192,"50M","False","r"
"681","ECK0359-JW5814","yaiF",99,377981,378344,363,"50M","False","r"
"683","ECK0360-JW0355","yaiP",99,378216,379389,1173,"50M","False","r"
"685","ECK0361-JW0356","yaiS",99,379536,380070,534,"50M","False","r"
"687","ECK0362-JW0357","tauA",99,380691,381630,939,"50M","False","f"
"689","ECK0363-JW0358","tauB",99,381666,382410,744,"50M","False","f"
"691","ECK0364-JW0359","tauC",99,382430,383234,804,"50M","False","f"
"693","ECK0365-JW0360","tauD",99,383254,384082,828,"50M","False","f"
"695","ECK0366-JW0361","hemB",99,384230,385181,951,"50M","False","r"
"697","ECK0367-JW5049","ykiB",99,385374,385569,195,"50M","False","r"
"699","ECK0368-JW0362","yaiT",99,385710,387147,1437,"50M","False","f"
"701","ECK0369-JW5051","yaiU",99,388480,389854,1374,"50M","False","f"
"703","ECK0370-JW0366","yaiV",99,389920,390565,645,"50M","False","f"
"705","ECK0371-JW5052","ampH",99,390607,391741,1134,"50M","False","r"
"707","ECK0372-JW0368","sbmA",99,392098,393295,1197,"50M","False","f"
"709","ECK0373-JW0369","yaiW",99,393331,394402,1071,"50M","False","f"
"711","ECK0374-JW0370","yaiY",99,394502,394787,285,"50M","False","r"
"713","ECK0375-JW5053","yaiZ",99,394983,395241,258,"50M","False","f"
"715","ECK0376-JW0372","ddlA",99,395306,396377,1071,"50M","False","r"
"717","ECK0377-JW0373","yaiB",99,396845,397082,237,"50M","False","f"
"719","ECK0378-JW0374","phoA",99,397206,398598,1392,"50M","False","f"
"721","ECK0379-JW5054","psiF",99,398740,399037,297,"50M","False","f"
"723","ECK0380-JW0376","yaiC",99,399162,400254,1092,"50M","False","f"
"725","ECK0381-JW0377","proC",99,400312,401098,786,"50M","False","r"
"727","ECK0382-JW0378","yaiI",99,401223,401658,435,"50M","False","f"
"729","ECK0383-JW0379","aroL",99,401864,402365,501,"50M","False","f"
"731","ECK0384-JW0380","yaiA",99,402438,402606,168,"50M","False","f"
"733","ECK0385-JW0381","aroM",99,402887,403541,654,"50M","False","f"
"735","ECK0386-JW0382","yaiE",99,403636,403897,261,"50M","False","f"
"737","ECK0387-JW0383","ykiA",99,404128,404386,258,"50M","False","f"
"739","ECK0388-JW0384","rdgC",99,404585,405473,888,"50M","False","r"
"741","ECK0389-JW0385","mak",99,405603,406488,885,"50M","False","f"
